Lesson,Kanji,On,Kun,Trans
2,才,サイ,—,талант
3,打,ダ,うつ,ударять
2,払,フツ,はらう,"платить, чистить, усилительный суффикс"
2,批,,,criticism
2,承,ショー,うけたまわる,"соглашаться, наследовать"
2,技,ギ,わざ,навык
3,投,トー,なげる,бросать
3,折,セツ,おり、おる,"сгибать, ломать, момент"
3,抜,バツ,ぬく,"вытаскивать, превосходить, проходить насквозь"
3,抱,ホー,だく、いだく、かかえる,"обнимать, питать чувства"
3,押,オー,"おす
(おさえる)",надавить
2,担,,,shouldering
2,招,,,beckon
2,拝,,,worship
1,拠,,,foothold
2,拡,,,broaden
2,拾,シュー,ひろう,"поднимать, подбирать"
4,持,ジ,もつ,"держать, иметь"
3,指,シ,ゆび、さす,"палец, указывать"
1,挙,,,поднимать
2,挟,,,pinch
1,振,シン,ふる,трясти
2,捕,,,catch
2,捜,,,search
2,捨,シャ,すてる,выбрасывать
2,掃,,,sweep
2,授,ジュ,さずける,"даровать, обучать"
2,掘,,,dig
1,掛,—,かける,"вешать, усилительный суффикс, суффикс незаконченности"
2,採,,,pick
3,探,タン,さがす、さぐる,"искать, разведывать"
2,接,セツ,つぐ,"соединять, соприкасаться"
1,推,,,infer
1,描,ビョー,えがく、かく,рисовать
1,提,,,propose
2,換,,,interchange
1,握,アク,にぎる,"схватывать, держать"
1,揺,ヨー,ゆれる,"трястись, качаться"
2,損,,,loss
1,撃,ゲキ,うつ,"нападать, стрелять"
2,操,,,maneuver
3,支,シ,ささえる,"поддерживать, отделение/филиал, расходы"
3,改,カイ,あらためる,"менять, переделывать"
3,放,ホー,はなす、ほうる,отпускать
3,政,セイ,まつりごと,политика
3,故,コ,ゆえ,обстоятельства
2,救,,,спасение
2,敗,,,неудача
4,教,キョー,おしえる、おそわる,"учить, преподавать"
3,散,サン,ちる,разбрасывать
2,敬,ケイ,うやまう,уважать
3,数,スー,かず、かぞえる,"цифра, число"
2,整,セイ,ととのえる、ととのう,приводить в порядок
1,敵,テキ,(かたき),враг
1,敷,フ,しく,стелить
4,文,ブン、モン,ふみ,"текст, письменность, фраза, культура"
1,斎,,,purification
4,料,リョー,—,"оплата, материал"
3,断,ダン,たつ、ことわる,"отрезать, прерывать, утверждение, заключение"
5,新,シン,あたらしい,новый
4,方,ホー,かた,"направление, способ, квадрат"
4,旅,リョ,たび,путешествие
4,族,ゾク,—,"семья, племя"
1,既,,,previously
5,日,ニチ、ジツ,"ひ
(か)","день, солнце"
1,旦,タン,—,новый день
2,旧,キュー,—,"старое, прошлое"
4,早,ソー,はやい,"рано, быстро"
2,昇,,,rise up
4,明,メイ、ミョー,あかり、あかるい,"яркий, очевидный, мудрость"
2,易,エキ、イ,やさしい,"лёгкий, торговля, гадание"
3,昔,セキ,むかし,"прошлое, в старину"
2,星,セイ,ほし,"звезда, небесное тело, мишень"
4,映,エイ,うつる、はえる,отражаться
4,春,シュン,はる,"весна, страсть, эротика"
3,昨,サク,—,прошлый (о времени)
1,昭,ショー,—,сиять
1,是,ゼ,—,"именно так, политика, правильность"
4,昼,チュー,ひる,день (дневное время)
5,時,ジ,とき,"время, час"
3,晩,バン,—,"вечер, поздний"
2,普,フ,—,"обычный, всеобщий"
3,景,ケイ,—,"вид, пейзаж, состояние"
2,晴,セイ,はれる,ясная погода
4,暑,ショ,あつい,"жаркий, горячий"
2,暖,,,warmth
4,暗,アン,くらい,тёмный
1,暫,,,temporarily
3,暮,ボ,くらす,сумерки
2,暴,ボー,あばれる,насилие
2,曇,,,cloudy weather
4,曜,ヨー,—,день недели
3,曲,キョク,まがる,"мелодия, изгиб"
3,更,コー,さら、ふける,"обновлять, ещё"
5,書,ショ,かく,писать
2,替,タイ,かえる,обмен
3,最,サイ,もっとも,самый
5,月,ゲツ、ガツ,つき,"месяц, луна"
4,有,"ユー
(ウ)",ある,"быть, иметь"
4,服,フク,—,"одежда, подчинение"
3,望,ボー,のぞむ,"желание, надежда"
4,朝,チョー,あさ,утро
3,期,キ,—,период времени
5,木,モク、ボク,き,дерево
3,未,ミ,—,ещё не
3,末,マツ,すえ,"конец, окончание, последний, порошок"
5,本,ホン,もと,"книга, источник, истинный, этот"
2,札,,,"ярлык, бирка"
2,机,,,desk
1,杉,—,すぎ,криптомерия
2,材,,,хлам
4,村,ソン,むら,деревня
2,束,ソク,たば,"связка, пучок"
3,条,ジョー,—,"статья, параграф, пункт, линия"
5,来,ライ,くる,приходить
2,杯,,,counter for cupfuls
5,東,トー,ひがし,восток
1,松,ショー,まつ,сосна
2,板,"ハン
(バン)",いた,"доска, плита"
4,林,リン,はやし,роща
2,枚,マイ,—,счётное слово для плоских предметов
3,果,カ,はたす,"фрукт, выполнять, результат"
3,枝,シ,えだ,ветвь
2,枯,,,wither
1,柄,ヘイ,がら、え,"узор, рукоятка, телосложение"
1,染,セン,そめる、しみる,окрашивать
2,柔,,,tender
2,柱,チュー,はしら,столб
1,柳,,,willow
2,査,,,investigate
2,栄,,,процветание
5,校,コー,—,школа
3,根,コン,ね,корень
3,格,カク,—,"статус, стандарт, характер, падеж"
3,案,アン,—,"план, идея"
1,梅,,,абрикос
2,械,,,хитроумное изобретение
2,棒,,,rod
4,森,シン,もり,лес
1,椅,,,chair
2,植,ショク,うえる,"сажать, сеять"
2,検,,,examine
4,業,ギョー、ゴー,わざ,"промышленность, дело"
3,極,"キョク
(ゴク)",きわまる,"крайняя степень, полюса"
4,楽,ラク、ガク,たのしい,"удовольствие, музыка"
1,概,,,outline
3,構,コー,かまえる,конструкция
3,様,ヨー,さま,"вид, положение"
2,標,,,указатель
1,模,,,imitation
2,権,ケン,—,"права, власть"
3,横,オー,よこ,"горизонтальный, бок"
1,樹,ジュ,—,деревья
3,橋,キョー,はし,мост
3,機,キ,(はた),"механизм, момент, состояние человека"
2,欠,ケツ,かける,недоставать
3,次,ジ,つぎ、つぐ,следующий
2,欧,,,Europe
2,欲,ヨク,ほしい,"желание, жадность"
4,歌,カ,うた,песня
4,止,シ,とまる、やむ,остановиться
4,正,セイ、ショー,"ただしい
(まさ)","верный, правильный, справедливый"
3,武,ブ,—,военный
4,歩,ホ,あるく、あゆむ,шагать
2,歯,シ,は,зуб
3,歳,サイ,—,"возраст, год"
3,歴,レキ,—,"биография, последовательно"
4,死,シ,しぬ,смерть
1,殊,,,particularly
3,残,ザン,のこる,остаток
3,段,ダン,—,"ступень, стадия"
3,殺,サツ,ころす,убить
3,殿,デン,との、どの,"дворец, суффикс доно"
5,母,ボ,はは,мать
5,毎,マイ,—,каждый
2,毒,ドク,—,яд
3,比,ヒ,くらべる,сравнивать
3,毛,モー,け,"волосы, шерсть"
1,氏,シ,うじ,"род, фамилия"
4,民,ミン,(たみ),народ
5,気,"キ
(ケ)",—,"духовная сила, дух, энергия, воздух"
5,水,スイ,みず,вода
2,氷,ヒョー,こおり,лёд
3,永,エイ,ながい,вечный
3,求,キュー,もとめる,"требовать, искать"
2,汗,,,sweat
2,汚,オ,けがす、よごす、きたない,грязный
1,江,コー,え,бухта
4,池,チ,いけ,"пруд, водоем"
3,決,ケツ,きめる,решать
1,汽,キ,—,пар
2,沈,チン,しずむ,"тонуть, погружаться"
1,沢,タク,さわ,"болото, обилие"
3,河,カ,かわ,река
2,沸,,,seethe
2,油,ユ,あぶら,масло
3,治,チ、ジ,おさめる、なおす,"управлять, лечить"
2,況,キョー,—,положение
2,泉,セン,いずみ,родник
2,泊,,,overnight
3,法,ホー,—,"закон, метод, религия, мат. операции"
3,波,ハ,なみ,волна
3,泣,キュー,なく,плакать
2,泥,,,mud
4,注,チュー,そそぐ,"наливать, запись, заказ"
2,泳,エイ,およぐ,плавать
4,洋,ヨー,—,океан
4,洗,セン,あらう,"мыть, стирать"
1,津,シン,つ,гавань
3,活,カツ,—,"живой, активный"
1,派,ハ,—,"группа, секта, школа, командировка"
